NomePrestadora,CodINEP,siglaUf,NomeMunicipio,DescSituacao,TipoObrigacao,VelAcessoInstalada,DescTecnologia,NomeEscola,DescTipoEscola,DataAtivacao
TELEFÔNICA,25050222[*],PB,Sumé,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,UMEIEF MANOEL INACIO,Municipal,17/11/2014
TELEFÔNICA,25050257[*],PB,Sumé,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,UMEIEF RODOLFO SANTA CRUZ,Municipal,17/11/2014
TELEFÔNICA,25050370[*],PB,Sumé,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,UMEIEF PROFESSOR JOSE GONCALVES DE QUEIROZ,Municipal,23/06/2015
TELEFÔNICA,25050613[*],PB,Taperoá,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF MANOEL FERREIRA DE GOUVEIA,Municipal,22/01/2016
TELEFÔNICA,25050699[*],PB,Taperoá,Instalada,Rural – Edital 4G,5.05 Mbps,Rede Celular,EMPG VITALIANO MESSIAS,Municipal,11/10/2018
TELEFÔNICA,25050710[*],PB,Assunção,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIEF BRASILINO CARDOSO DE MELO,Municipal,25/09/2015
TELEFÔNICA,25050753[*],PB,Taperoá,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF D ILUMINATA MARIA DA NOBREGA,Municipal,21/01/2016
TELEFÔNICA,25050834[*],PB,Taperoá,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF INACIO FONSECA DE ARAUJO,Municipal,22/01/2016
TELEFÔNICA,25050842[*],PB,Taperoá,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMPG JOSE CARDOSO MELO,Municipal,20/12/2017
TELEFÔNICA,25050850[*],PB,Taperoá,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOSE EPAMINONDAS DE SOUZA,Municipal,21/01/2016
TELEFÔNICA,25050931[*],PB,Taperoá,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMPG PROF GASTAO BARROS,Municipal,12/01/2016
TELEFÔNICA,25050974[*],PB,Taperoá,Instalada,Rural – Edital 4G,85.67 Mbps,Rede Celular,EMEF VIRGILIO VILAR,Municipal,11/10/2018
TELEFÔNICA,25051032[*],PB,Taperoá,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF MANOEL AVELINO GONCALVES,Municipal,21/01/2016
TELEFÔNICA,25051512[*],PB,Barra de São Miguel,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF MANOEL ESTEVAM DE MIRANDA,Municipal,24/09/2015
TELEFÔNICA,25051652[*],PB,Boqueirão,Instalada,Rural – Edital 4G,6.8 Mbps,Rede Celular,EEEF PROFESSORA TEREZINHA LEAL,Estadual,10/10/2018
TELEFÔNICA,25051725[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF PEDRO HERMINIO BEZERRA CABRAL - MINEIRO,Municipal,28/10/2015
TELEFÔNICA,25051857[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOSE ANDRADE FILHO,Municipal,30/10/2015
TELEFÔNICA,25051962[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF FRANCISCO OZIAS DE NORMANDIA,Municipal,29/10/2015
TELEFÔNICA,25051997[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOAO ERNESTO DO REGO,Municipal,29/10/2015
TELEFÔNICA,25052004[*],PB,Barra de Santana,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEB JULITA GUERRA,Municipal,14/06/2015
TELEFÔNICA,25052012[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF ADAUTA CORDEIRO DE BRITO LIRA,Municipal,30/10/2015
TELEFÔNICA,25052039[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF MANOEL FRANCISCO BARBOSA,Municipal,29/10/2015
TELEFÔNICA,25052047[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF ANTONIO RAMOS,Municipal,29/10/2015
TELEFÔNICA,25052080[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF HENRIQUE JOSE CAVALCANTI,Municipal,30/10/2015
TELEFÔNICA,25052098[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOSE ADELINO LEAL,Municipal,30/10/2015
TELEFÔNICA,25052101[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOSE NASCIMENTO DA SILVA,Municipal,29/09/2015
TELEFÔNICA,25052110[*],PB,Boqueirão,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF MANOEL PEREIRA DA SILVA,Municipal,29/09/2015
